Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/input_Credit card_card""), ""123"")",Chrome 100.0.4896.88,,,2022-04-14 23:58:06,2022-04-14 23:58:07,1.287s,PASSED
"setText(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/input_Month_month""), ""12"")",Chrome 100.0.4896.88,,,2022-04-14 23:58:07,2022-04-14 23:58:08,1.131s,PASSED
"setText(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/input_Year_year""), ""2024"")",Chrome 100.0.4896.88,,,2022-04-14 23:58:08,2022-04-14 23:58:10,1.229s,PASSED
"click(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/button_Purchase""))",Chrome 100.0.4896.88,,,2022-04-14 23:58:10,2022-04-14 23:58:10,0.543s,PASSED
"click(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/button_OK""))",Chrome 100.0.4896.88,,,2022-04-14 23:58:10,2022-04-14 23:58:12,1.589s,PASSED
,,,,,,,
Test Cases/Phones/Sony Xperia Z5,Chrome 100.0.4896.88,,,2022-04-14 23:58:12,2022-04-14 23:58:42,30.607s,PASSED
"openBrowser("""")",Chrome 100.0.4896.88,,,2022-04-14 23:58:14,2022-04-14 23:58:22,8.338s,PASSED
"navigateToUrl(""https://www.demoblaze.com/"")",Chrome 100.0.4896.88,,,2022-04-14 23:58:22,2022-04-14 23:58:23,1.214s,PASSED
"click(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/a_Log in""))",Chrome 100.0.4896.88,,,2022-04-14 23:58:23,2022-04-14 23:58:24,1.113s,PASSED
"setText(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/input_Username_loginusername""), ""Ali12345"")",Chrome 100.0.4896.88,,,2022-04-14 23:58:24,2022-04-14 23:58:25,1.034s,PASSED
"setEncryptedText(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/input_Password_loginpassword""), ""T2f+EhbY9lxWCo62oSDqfg=="")",Chrome 100.0.4896.88,,,2022-04-14 23:58:25,2022-04-14 23:58:26,0.572s,PASSED
"click(findTestObject(""DEMOBLAZE/Phones/Samsung Galaxy S6/Page_STORE/button_Log in""))",Chrome 100.0.4896.88,,,2022-04-14 23:58:26,2022-04-14 23:58:26,0.498s,PASSED
